pond,sexo,region,edad,satisfaccion_vida,satisfaccion_chilenos,eval_econ
1.339168839,2,13,18,8,3,1
1.265635799,2,1,57,10,5,2
0.604509991,2,14,25,10,10,4
1.030286506,2,13,37,8,5,3
0.674731757,2,14,50,5,5,2
0.292365209,2,8,60,9,5,2
0.69358657,2,9,66,9,5,4
1.339168839,2,13,19,6,8,2
0.786882058,2,7,34,6,7,3
1.030286506,2,13,39,10,10,3
0.496042009,2,7,76,5,6,2
0.554547303,2,6,49,10,5,4
1.379259028,2,13,32,8,5,4
1.030286506,2,13,44,9,6,3
0.577238155,2,14,61,8,6,2
1.235067368,2,7,40,6,7,3
1.657836476,2,11,63,7,4,2
1.221825329,2,8,22,10,5,4
0.496042009,2,7,68,10,5,3
1.174752514,2,6,31,2,88,3
0.64190234,2,5,72,10,5,3
0.577238155,2,14,66,10,5,4
1.473347004,2,10,37,10,1,2
0.475814327,2,7,24,4,6,1
0.310246457,2,6,63,8,6,2
0.939310387,2,8,44,9,3,3
1.139149282,2,4,52,10,1,1
0.846971838,2,13,59,10,8,4
0.69358657,2,9,59,7,3,3
1.379259028,2,13,33,7,7,3
1.030286506,2,13,35,10,10,4
0.577238155,2,14,62,10,5,3
1.14642748,2,6,20,7,5,2
0.479715516,2,8,63,6,4,2
0.598695995,2,7,49,6,6,3
0.479715516,2,8,73,10,1,3
0.3720101,2,12,21,8,6,3
0.604509991,2,14,25,7,4,3
1.379259028,2,13,32,7,3,3
0.155724893,2,13,44,1,2,2
0.496042009,2,7,64,10,88,4
0.929676631,2,10,63,8,5,3
0.846971838,2,13,70,5,6,2
1.139149282,2,4,46,10,5,3
0.554547303,2,6,50,7,10,3
1.379259028,2,13,26,8,7,3
0.92149875,2,13,49,6,7,2
0.846971838,2,13,75,7,5,4
0.92149875,2,13,48,10,1,2
0.846971838,2,13,78,5,6,3
0.64190234,2,5,74,10,4,2
1.379259028,2,13,32,5,6,5
1.339168839,2,13,20,7,4,3
1.546985241,2,10,26,7,4,2
1.221825329,2,8,20,3,5,2
1.030286506,2,13,37,10,4,2
0.756727078,2,7,53,4,7,1
0.472654733,2,5,38,10,3,3
0.27236362,2,4,80,9,6,2
0.64190234,2,5,81,10,10,3
0.846971838,2,13,78,7,9,2
0.846971838,2,13,88,8,4,3
0.64190234,2,5,97,7,5,3
0.292365209,2,8,86,5,5,4
0.491476304,2,6,85,3,6,3
0.479715516,2,8,76,10,10,3
0.479715516,2,8,79,4,4,3
0.479715516,2,8,78,7,5,3
0.628322542,2,10,77,10,6,3
0.29348065,2,9,76,4,4,4
0.292365209,2,8,82,6,5,3
0.479715516,2,8,72,6,5,2
0.479715516,2,8,59,9,7,3
0.292365209,2,8,75,7,88,2
0.27236362,2,4,71,5,5,3
0.27236362,2,4,74,6,5,3
0.491476304,2,6,58,10,5,3
0.27236362,2,4,67,5,4,3
0.929676631,2,10,73,8,6,2
0.766008921,2,4,58,9,9,2
0.846971838,2,13,63,7,4,3
0.846971838,2,13,56,8,5,3
0.292365209,2,8,66,4,4,3
0.846971838,2,13,74,7,5,3
0.29348065,2,9,74,5,4,2
0.46170604,2,7,73,3,7,2
0.846971838,2,13,78,6,5,1
0.846971838,2,13,71,9,6,1
0.479715516,2,8,72,8,6,4
0.69358657,2,9,72,5,5,3
0.846971838,2,13,77,3,3,2
0.628322542,2,10,70,6,6,3
0.846971838,2,13,70,8,6,1
0.292365209,2,8,73,4,88,3
0.64190234,2,5,78,3,3,3
0.155724893,2,13,37,4,88,3
0.846971838,2,13,67,5,3,3
0.846971838,2,13,66,9,5,4
0.766008921,2,4,82,7,5,3
0.64190234,2,5,61,4,5,3
0.64190234,2,5,78,6,4,3
0.479715516,2,8,83,8,7,3
0.496042009,2,7,89,4,6,3
1.657836476,2,11,80,6,6,8
0.479715516,2,8,87,5,5,3
0.46170604,2,7,67,5,7,2
0.492434306,2,4,53,7,3,3
0.64190234,2,5,74,8,9,4
0.92149875,2,13,54,6,5,2
0.846971838,2,13,75,7,7,4
0.493033687,2,10,44,5,5,2
0.554547303,2,6,46,5,7,3
0.554547303,2,6,47,8,7,3
0.375144007,2,6,46,1,1,1
0.479715516,2,8,66,7,5,3
0.929676631,2,10,70,10,5,3
0.654158717,2,2,65,4,4,3
0.479715516,2,8,59,10,5,2
0.766008921,2,4,66,5,5,9
0.388573566,2,2,50,10,5,1
0.27236362,2,4,57,8,5,3
0.740809231,2,4,43,9,5,2
0.69358657,2,9,56,5,3,3
0.846971838,2,13,55,9,9,3
0.577238155,2,14,62,4,4,2
0.846971838,2,13,70,8,5,3
0.846971838,2,13,60,8,6,4
1.339168839,2,13,24,10,5,3
0.378714605,2,14,78,10,5,2
0.64190234,2,5,84,10,6,3
1.235067368,2,7,43,6,5,2
0.64190234,2,5,68,10,88,2
0.92149875,2,13,50,7,5,4
0.565495996,2,9,50,1,3,3
0.27236362,2,4,69,8,6,2
0.27236362,2,4,66,5,5,3
0.565495996,2,9,50,10,5,4
0.989372532,2,5,52,10,4,3
0.565495996,2,9,52,5,5,3
