year,pib mexico,Inflacion mexico,tasa de desempleo,consumo,importaciones ,Exportaciones,inversion,tasa de mortalidad,gasto ,bool,1a15
1961,1.48E+11,1.61,,92005103586,12730675570,6759192515,30903156538,12.27,10847502043,1,1
1962,1.55E+11,1.2,,96943344703,12951899087,7178773238,30774059868,11.915,12506827602,1,2
1963,1.68E+11,0.59,,1.04E+11,14297475336,7373662585,36056299601,11.61,14054699315,1,3
1964,1.88E+11,2.34,,1.15E+11,16483599065,7882376680,43093007065,11.346,15772654269,1,4
1965,2.01E+11,3.57,,1.60E+11,21733160686,11962946264,61294744431,11.114,21143561361,1,5
1966,2.14E+11,4.22,,1.68E+11,23420084749,13115046183,66187952228,10.903,23131917760,1,6
1967,2.26E+11,3.02,,1.80E+11,23330721994,12407090234,68950195262,10.701,24659245180,1,7
1968,2.47E+11,2.33,,1.92E+11,24773110755,13028414220,79981676403,10.498,27120398786,1,8
1969,2.56E+11,3.37,,2.05E+11,24734779442,14634973716,73680776797,10.285,28655200642,1,9
1970,2.72E+11,5,4.9,2.19E+11,26633449356,15260691390,78046851195,10.055,31255664831,1,1
1971,2.83E+11,5.47,,2.30E+11,25490899197,15695092840,75558055268,9.802,34523261313,1,2
1972,3.06E+11,4.94,,2.47E+11,29426208654,17883242150,84209291510,9.524,38713551860,1,3
1973,3.30E+11,12.08,,2.65E+11,35545248298,19834801215,96232418968,9.227,42317974612,1,4
1974,3.49E+11,23.78,,2.76E+11,41880190200,19791341969,1.13E+11,8.918,45119612187,1,5
1975,3.69E+11,14.94,,2.92E+11,40243604846,20240643742,1.15E+11,8.602,50834685664,1,6
1976,3.85E+11,15.82,,3.04E+11,37804486534,21713195913,1.16E+11,8.286,54323493362,1,7
1977,3.98E+11,29.06,,3.11E+11,30902310499,25668751682,1.09E+11,7.976,54317768269,1,8
1978,4.34E+11,17.46,,3.34E+11,37705310040,31511585040,1.24E+11,7.677,59448564263,1,9
1979,4.76E+11,18.19,,3.64E+11,48810075615,37404086106,1.44E+11,7.396,65145985378,1,1
1980,5.20E+11,26.35,,4.01E+11,66959835981,45708527733,1.62E+11,7.135,71363912806,1,2
1981,5.65E+11,27.93,,4.32E+11,78826026414,50904523781,1.87E+11,6.899,78691137949,1,3
1982,5.62E+11,58.91,,4.24E+11,48988806633,62387770561,1.41E+11,6.689,80289371539,1,4
1983,5.42E+11,101.87,,4.06E+11,32435023576,71261079992,1.02E+11,6.5,82476009537,1,5
1984,5.61E+11,65.45,,4.22E+11,38210807342,75361045618,1.08E+11,6.33,87910798890,1,6
1985,5.73E+11,57.75,,4.34E+11,42407703692,71998930533,1.20E+11,6.175,88705939979,1,7
1986,5.55E+11,86.23,,4.26E+11,39192199886,75232100869,97342817832,6.035,90017922772,1,8
1987,5.65E+11,131.83,,4.24E+11,41206941050,82371819699,1.03E+11,5.904,88932555188,1,9
1988,5.72E+11,114.16,,4.30E+11,56337704918,87118896970,1.15E+11,5.782,88487276174,1,1
1989,5.95E+11,20.01,,4.55E+11,68313580402,89096049876,1.20E+11,5.665,88360053603,1,2
1990,6.26E+11,26.65,,4.80E+11,81801954983,92343547407,1.34E+11,5.554,90411517611,1,3
1991,6.53E+11,22.66,3.2,5.03E+11,95527018356,96577233524,1.44E+11,5.447,93957846872,1,4
1992,6.76E+11,15.51,3.2,5.22E+11,1.15E+11,98203370156,1.64E+11,5.347,96132557753,1,5
1993,6.89E+11,9.75,3.4,5.24E+11,1.14E+11,1.02E+11,1.60E+11,5.255,98080653425,1,6
1994,7.23E+11,6.97,4.4,5.49E+11,1.34E+11,1.11E+11,1.83E+11,5.173,1.01E+11,1,7
1995,6.77E+11,35,7.1,5.22E+11,1.13E+11,1.33E+11,1.26E+11,5.1,99932651255,1,8
1996,7.23E+11,34.38,5.5,5.41E+11,1.33E+11,1.54E+11,1.45E+11,5.033,99912322555,1,9
1997,7.73E+11,20.53,4.2,5.79E+11,1.63E+11,1.68E+11,1.66E+11,4.969,1.05E+11,1,1
1998,8.13E+11,15.93,3.7,6.11E+11,1.87E+11,1.81E+11,1.83E+11,4.906,1.06E+11,1,2
1999,8.35E+11,16.59,2.6,6.41E+11,2.09E+11,1.90E+11,1.88E+11,4.844,1.12E+11,1,3
2000,8.76E+11,9.49,2.7,6.82E+11,2.51E+11,2.13E+11,1.98E+11,4.786,1.15E+11,1,4
2001,8.73E+11,6.37,2.6,6.93E+11,2.49E+11,2.11E+11,1.81E+11,4.737,1.12E+11,1,5
2002,8.73E+11,5.03,3,7.04E+11,2.52E+11,2.12E+11,1.80E+11,4.703,1.13E+11,1,6
2003,8.85E+11,4.55,3.5,7.17E+11,2.59E+11,2.16E+11,1.83E+11,4.689,1.12E+11,1,7
2004,9.20E+11,4.69,3.9,7.45E+11,2.75E+11,2.38E+11,1.99E+11,4.7,1.11E+11,1,8
2005,9.41E+11,3.99,3.6,7.65E+11,2.90E+11,2.53E+11,2.04E+11,4.734,1.14E+11,1,9
2006,9.83E+11,3.63,3.2,7.94E+11,3.15E+11,2.72E+11,2.26E+11,4.792,1.17E+11,1,1
2007,1.01E+12,3.97,3.4,8.13E+11,3.31E+11,2.78E+11,2.37E+11,4.869,1.19E+11,1,2
2008,1.02E+12,5.12,3.5,8.22E+11,3.41E+11,2.75E+11,2.49E+11,4.961,1.22E+11,1,3
2009,9.64E+11,5.3,5.1,7.81E+11,2.87E+11,2.45E+11,2.20E+11,5.06,1.26E+11,1,4
2010,1.01E+12,4.16,5.1,8.08E+11,3.36E+11,3.00E+11,2.34E+11,5.163,1.29E+11,1,5
2011,1.05E+12,3.41,5.3,8.35E+11,3.55E+11,3.23E+11,2.50E+11,5.266,1.33E+11,2,6
2012,1.09E+12,4.11,4.9,8.55E+11,3.74E+11,3.44E+11,2.63E+11,5.369,1.37E+11,2,7
2013,1.10E+12,3.81,4.9,8.69E+11,3.82E+11,3.49E+11,2.57E+11,5.471,1.38E+11,2,8
2014,1.13E+12,4.02,4.6,8.88E+11,4.05E+11,3.73E+11,2.61E+11,5.572,1.42E+11,2,9
